"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness,total_time
"[15, 10, 50, 300, 10, 2.5, 2.5]",6.423917544803686e-268,3.3214011790005316
"[15, 10, 50, 300, 10, 2.5, 2.5]",5.042627966714065e-277,3.493092073999833
"[15, 10, 50, 300, 10, 2.5, 2.5]",1.897643869653246e-281,4.343795603000217
"[15, 10, 50, 300, 10, 2.5, 2.5]",1.9762759844643846e-277,3.2409138410002925
"[15, 10, 50, 300, 10, 2.5, 2.5]",5.303096952551166e-284,2.640466438000658
"[15, 10, 50, 300, 10, 2.5, 2.5]",9.506697277041606e-287,2.7232561069995427
"[15, 10, 50, 300, 10, 2.5, 2.5]",1.284504220787116e-297,3.1910206769998695
"[15, 10, 50, 300, 10, 2.5, 2.5]",8.012144405173816e-264,2.6169486070002677
"[15, 10, 50, 300, 10, 2.5, 2.5]",2.816748137043358e-284,2.577114785000049
"[15, 10, 100, 100, 10, 2.5, 2.5]",3.461421297741171e-135,5.237266035000175
"[15, 10, 100, 100, 10, 2.5, 2.5]",4.3166026894766774e-141,6.147130368000035
"[15, 10, 100, 100, 10, 2.5, 2.5]",1.2300805171994343e-136,5.697696270000051
"[15, 10, 100, 100, 10, 2.5, 2.5]",2.415977552421839e-133,5.788658163000036
"[15, 10, 100, 100, 10, 2.5, 2.5]",1.7850090487036452e-137,4.8088930149997395
"[15, 10, 100, 100, 10, 2.5, 2.5]",1.338895931267795e-163,4.592491649000294
"[15, 10, 100, 100, 10, 2.5, 2.5]",2.6768504901212177e-139,4.631475918000433
"[15, 10, 100, 100, 10, 2.5, 2.5]",2.4267805402541054e-142,4.607411779000358
"[15, 10, 100, 100, 10, 2.5, 2.5]",1.6175239475278048e-133,4.86869809899963
"[15, 10, 100, 100, 10, 2.5, 2.5]",2.7715495274077322e-132,5.628358556999956
"[15, 10, 100, 100, 10, 2.5, 2.5]",5.624243033144069e-141,4.845138280000356
"[15, 10, 100, 100, 10, 2.5, 2.5]",1.9471006626556416e-133,4.6350971320007375
"[15, 10, 100, 100, 10, 2.5, 2.5]",5.487152669441438e-155,4.4882779409999785
"[15, 10, 100, 100, 10, 2.5, 2.5]",1.2551278565331176e-134,4.895966839000721
"[15, 10, 100, 100, 10, 2.5, 2.5]",1.636657856240678e-128,3.8998199190000378
"[15, 10, 100, 100, 10, 2.5, 2.5]",3.770740650852732e-128,4.013316196000233
"[15, 10, 100, 100, 10, 2.5, 2.5]",1.9686638942078579e-144,3.5198844870001267
"[15, 10, 100, 100, 10, 2.5, 2.5]",5.527645287422164e-133,4.361973986000521
"[15, 10, 100, 100, 10, 2.5, 2.5]",6.014977823174685e-128,4.55923171700033
"[15, 10, 100, 100, 10, 2.5, 2.5]",8.125652879415864e-131,3.5919378759999745
"[15, 10, 100, 200, 10, 2.5, 2.5]",5.487437342285792e-219,3.8566629970000577
"[15, 10, 100, 200, 10, 2.5, 2.5]",1.3181004041153939e-222,3.836927800000012
"[15, 10, 100, 200, 10, 2.5, 2.5]",9.007030843978404e-215,3.9640505159995882
"[15, 10, 100, 200, 10, 2.5, 2.5]",2.9960083468346765e-213,4.178729915000076
"[15, 10, 100, 200, 10, 2.5, 2.5]",3.37143681202622e-203,4.3833910280000055
"[15, 10, 100, 200, 10, 2.5, 2.5]",5.195975701554212e-206,3.9351521819999107
"[15, 10, 100, 200, 10, 2.5, 2.5]",9.751194670986774e-209,4.786209342000802
"[15, 10, 100, 200, 10, 2.5, 2.5]",6.4009177481855925e-220,5.765230840000186
"[15, 10, 100, 200, 10, 2.5, 2.5]",2.7322341308441026e-210,3.719867692000662
"[15, 10, 100, 200, 10, 2.5, 2.5]",1.9464828396818233e-203,4.137026704000164
"[15, 10, 100, 200, 10, 2.5, 2.5]",3.701689609829958e-198,3.6440759890001573
"[15, 10, 100, 200, 10, 2.5, 2.5]",8.659755832595207e-223,4.611030659999415
"[15, 10, 100, 200, 10, 2.5, 2.5]",9.317460791127575e-210,3.6148370870005238
"[15, 10, 100, 200, 10, 2.5, 2.5]",7.247241342978525e-212,3.8042771569998877
"[15, 10, 100, 200, 10, 2.5, 2.5]",7.687025363567224e-217,3.637143336999543
"[15, 10, 100, 200, 10, 2.5, 2.5]",3.0826295702858896e-200,3.6447939800000313
"[15, 10, 100, 200, 10, 2.5, 2.5]",8.609115776020566e-211,4.138277007999932
"[15, 10, 100, 200, 10, 2.5, 2.5]",4.1196618143490106e-237,3.729745087000083
"[15, 10, 100, 200, 10, 2.5, 2.5]",1.0658871084397828e-225,4.267743575000168
"[15, 10, 100, 200, 10, 2.5, 2.5]",2.970288164520058e-217,3.7261192079995453
"[15, 10, 100, 300, 10, 2.5, 2.5]",7.622727275642474e-291,3.8252929820000645
"[15, 10, 100, 300, 10, 2.5, 2.5]",1.0725242375179258e-271,3.8038106250005512
"[15, 10, 100, 300, 10, 2.5, 2.5]",3.4778926871873005e-275,4.593075746000068
"[15, 10, 100, 300, 10, 2.5, 2.5]",3.0244054860083796e-294,4.139142889000141
"[15, 10, 100, 300, 10, 2.5, 2.5]",1.5337765121306872e-275,3.9136950190004427
"[15, 10, 100, 300, 10, 2.5, 2.5]",1.5112193139732356e-280,3.7771199170001637
"[15, 10, 100, 300, 10, 2.5, 2.5]",1.2580645158601852e-290,3.907676301999345
"[15, 10, 100, 300, 10, 2.5, 2.5]",5.110752700739013e-294,4.425013528999443
"[15, 10, 100, 300, 10, 2.5, 2.5]",2.2743809881954065e-282,3.9962434919998486
"[15, 10, 100, 300, 10, 2.5, 2.5]",3.1811729793863935e-288,3.7957065150003473
"[15, 10, 100, 300, 10, 2.5, 2.5]",5.1649270679330906e-275,3.8232705690006696
"[15, 10, 100, 300, 10, 2.5, 2.5]",1.2183018193591687e-274,3.800806632999411
"[15, 10, 100, 300, 10, 2.5, 2.5]",1.0529833410897546e-273,4.196124525999949
"[15, 10, 100, 300, 10, 2.5, 2.5]",2.8321272285115026e-289,3.81336144999932
"[15, 10, 100, 300, 10, 2.5, 2.5]",1.1617106234220194e-293,3.9760235690000627
"[15, 10, 100, 300, 10, 2.5, 2.5]",4.74204190075816e-267,3.8665884450001613
"[15, 10, 100, 300, 10, 2.5, 2.5]",1.1912619466453906e-281,3.913649299000099
"[15, 10, 100, 300, 10, 2.5, 2.5]",2.1497244059758288e-271,3.804753018000156
"[15, 10, 100, 300, 10, 2.5, 2.5]",5.2699553535720685e-282,3.7842209860000366
"[15, 10, 100, 300, 10, 2.5, 2.5]",9.862072766493436e-282,3.7924459289997685
"[20, 5, 50, 100, 10, 2.5, 2.5]",4.36220066879372e-149,1.331820217999848
"[20, 5, 50, 100, 10, 2.5, 2.5]",3.982338639781343e-140,1.3001007709999612
"[20, 5, 50, 100, 10, 2.5, 2.5]",2.3295447144624473e-129,1.6178583429991704
"[20, 5, 50, 100, 10, 2.5, 2.5]",4.954968529268026e-146,1.4288498139994772
"[20, 5, 50, 100, 10, 2.5, 2.5]",2.6235941247214485e-130,1.3881734380001944
"[20, 5, 50, 100, 10, 2.5, 2.5]",1.0434128892684153e-140,1.3504595329995936
"[20, 5, 50, 100, 10, 2.5, 2.5]",2.8847745795388932e-129,1.3653031520007062
"[20, 5, 50, 100, 10, 2.5, 2.5]",2.9874403796999725e-136,1.468767145000129
"[20, 5, 50, 100, 10, 2.5, 2.5]",1.5434325173407404e-146,1.3720538559991837
"[20, 5, 50, 100, 10, 2.5, 2.5]",4.575506670062534e-138,1.3947748520004097
"[20, 5, 50, 100, 10, 2.5, 2.5]",1.8260947398365504e-132,1.403178941999613
"[20, 5, 50, 100, 10, 2.5, 2.5]",1.6170001533942992e-140,1.3053758380001454
"[20, 5, 50, 100, 10, 2.5, 2.5]",1.3093906648346709e-140,1.3517424929996196
"[20, 5, 50, 100, 10, 2.5, 2.5]",1.5156796093817604e-139,1.364124228000037
"[20, 5, 50, 100, 10, 2.5, 2.5]",6.712742746580746e-140,1.3416616900003646
"[20, 5, 50, 100, 10, 2.5, 2.5]",2.4051155974264075e-137,1.3304215570005908
"[20, 5, 50, 100, 10, 2.5, 2.5]",1.9862505292690214e-129,1.3682506949999151
"[20, 5, 50, 100, 10, 2.5, 2.5]",1.8780223042395725e-134,1.268402316999527
"[20, 5, 50, 100, 10, 2.5, 2.5]",1.7914487305631e-138,1.3934970230002364
"[20, 5, 50, 100, 10, 2.5, 2.5]",4.698966297528975e-133,1.4030431820001468
"[20, 5, 50, 200, 10, 2.5, 2.5]",2.204920084590685e-209,1.6673666189999494
"[20, 5, 50, 200, 10, 2.5, 2.5]",4.5402097456647805e-215,1.718888443000651
"[20, 5, 50, 200, 10, 2.5, 2.5]",3.479079774776936e-216,1.7041367309993802
"[20, 5, 50, 200, 10, 2.5, 2.5]",1.497494032576002e-228,1.6612923840002622
"[20, 5, 50, 200, 10, 2.5, 2.5]",2.3155412349591204e-207,1.6860469889998058
"[20, 5, 50, 200, 10, 2.5, 2.5]",8.731839784862568e-220,1.7211133299997528
"[20, 5, 50, 200, 10, 2.5, 2.5]",5.859469231907452e-206,1.706290237999383
"[20, 5, 50, 200, 10, 2.5, 2.5]",1.7705349458405697e-220,1.7368494219999775
"[20, 5, 50, 200, 10, 2.5, 2.5]",9.875310919713177e-220,1.6194594779999534
"[20, 5, 50, 200, 10, 2.5, 2.5]",1.2010979414323445e-224,1.6400115699998423
"[20, 5, 50, 200, 10, 2.5, 2.5]",2.483063475688908e-218,1.592748242000198
"[20, 5, 50, 200, 10, 2.5, 2.5]",5.187980273750117e-218,2.2262708309999653
"[20, 5, 50, 200, 10, 2.5, 2.5]",7.521957288842308e-219,1.670903391000138
"[20, 5, 50, 200, 10, 2.5, 2.5]",2.7559638838171395e-210,1.7711949730000924
"[20, 5, 50, 200, 10, 2.5, 2.5]",2.643079274437412e-215,1.71138475799944
"[20, 5, 50, 200, 10, 2.5, 2.5]",7.91498059411339e-222,2.7939141030001338
"[20, 5, 50, 200, 10, 2.5, 2.5]",4.742712533853389e-223,1.8755854969995198
"[20, 5, 50, 200, 10, 2.5, 2.5]",2.1769793914883012e-217,2.068961689000389
"[20, 5, 50, 200, 10, 2.5, 2.5]",4.051961185624372e-216,1.8432054419999986
"[20, 5, 50, 200, 10, 2.5, 2.5]",4.952927029141759e-208,1.5317077830004564
"[20, 5, 50, 300, 10, 2.5, 2.5]",3.906817133394023e-278,2.069562581000355
"[20, 5, 50, 300, 10, 2.5, 2.5]",1.1665027248064309e-288,1.853519043000233
"[20, 5, 50, 300, 10, 2.5, 2.5]",1.313460599038254e-283,2.0175438999995094
"[20, 5, 50, 300, 10, 2.5, 2.5]",9.161019133336263e-279,1.914576297000167
"[20, 5, 50, 300, 10, 2.5, 2.5]",5.009458340928168e-282,2.0489223139993555
"[20, 5, 50, 300, 10, 2.5, 2.5]",1.5419859336329623e-280,1.7009615210008633
"[20, 5, 50, 300, 10, 2.5, 2.5]",3.0261581286496177e-272,2.2434545689993683
"[20, 5, 50, 300, 10, 2.5, 2.5]",9.092609501977362e-287,2.1082324069993774
"[20, 5, 50, 300, 10, 2.5, 2.5]",5.947041970419857e-289,2.311485060999985
"[20, 5, 50, 300, 10, 2.5, 2.5]",2.63075962715328e-276,2.1007147260006604
"[20, 5, 50, 300, 10, 2.5, 2.5]",1.0799333184660892e-278,2.1603173339990462
"[20, 5, 50, 300, 10, 2.5, 2.5]",1.3463671575060867e-273,2.2452703079998173
"[20, 5, 50, 300, 10, 2.5, 2.5]",1.0872546779908817e-279,2.3918044490001193
"[20, 5, 50, 300, 10, 2.5, 2.5]",3.456484849785469e-276,2.0573875199988834
