"combination [range0, range1, ep_max, c1, c2]",gBest_fitness,total_time
"[-10, 10, 150, 200, 2, 2.5]",0.6329344475994046,5.81
"[-10, 10, 150, 200, 2, 2.5]",1.2810772558436925,5.6
"[-10, 10, 150, 200, 2, 2.5]",0.576516857719519,5.82
"[-10, 10, 150, 200, 2, 2.5]",0.7407195402732276,5.21
"[-10, 10, 150, 200, 2, 2.5]",0.5223696835908811,5.75
"[-10, 10, 150, 200, 2, 2.5]",0.5643531545729965,5.16
"[-10, 10, 150, 200, 2, 2.5]",0.24734317958989716,5.55
"[-10, 10, 150, 200, 2, 2.5]",0.41163071082250974,5.35
"[-10, 10, 150, 200, 2, 2.5]",0.2690209823888301,5.59
"[-10, 10, 150, 200, 2, 2.5]",0.4478256093986101,5.55
"[-10, 10, 150, 200, 2, 2.5]",0.7574218284263209,6.31
"[-10, 10, 150, 200, 2, 2.5]",0.5694607873654189,7.78
"[-10, 10, 150, 200, 2, 2.5]",0.9518248233041127,6.07
"[-10, 10, 150, 200, 2, 2.5]",0.6573250211198525,6.19
"[-10, 10, 150, 200, 2, 2.5]",0.7690196716103005,6.26
"[-10, 10, 150, 200, 2, 2.5]",0.5313089287613203,6.0
"[-10, 10, 150, 200, 2, 2.5]",0.9425834981161572,6.04
"[-10, 10, 150, 200, 2, 2.5]",1.072615543357107,5.85
"[-10, 10, 50, 200, 2.5, 2]",3.924022316334235,1.93
"[-10, 10, 50, 200, 2.5, 2]",4.559774954935923,2.1
"[-10, 10, 50, 200, 2.5, 2]",5.4284554182847575,1.95
"[-10, 10, 50, 200, 2.5, 2]",5.819522413083895,1.94
"[-10, 10, 50, 200, 2.5, 2]",5.388882291829004,1.93
"[-10, 10, 50, 200, 2.5, 2]",4.2760082948635425,2.01
"[-10, 10, 50, 200, 2.5, 2]",4.203541926061545,1.99
"[-10, 10, 50, 200, 2.5, 2]",4.470744595790819,2.11
"[-10, 10, 50, 200, 2.5, 2]",3.989961918871098,2.36
"[-10, 10, 50, 200, 2.5, 2]",4.255172202595723,2.12
"[-10, 10, 50, 200, 2.5, 2]",4.417683893589574,2.0
"[-10, 10, 50, 200, 2.5, 2]",3.6921270128195904,1.96
