"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,total_time
"[20, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",6.724751291675635,4.644218280999894
"[20, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",6.6514190421022965,4.716417227999955
"[20, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",4.16395636193898,4.715574205999928
"[20, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",7.242334861882276,5.167054508999854
"[20, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",7.707128481522172,7.804026629999953
"[20, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",5.929986088046159,5.862043499000038
"[20, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",7.149628341604213,5.380411294000169
"[20, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",5.308753144140116,5.900691399000152
"[20, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",5.835542576039606,4.861448672000051
"[20, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",6.363274162726933,4.992786963000071
"[20, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",6.591172332724364,4.895595946999947
"[20, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",5.192818733786183,5.042839681000032
"[20, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",3.689119955757228,4.679063018999841
"[20, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",6.12102639492834,4.65235411499998
"[20, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",5.535569354638453,7.453455129000076
"[20, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",3.652271369755207,9.42650456299998
"[20, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",9.327937275120167,8.358604232000062
"[20, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.432233739395136,9.001529289000018
"[20, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",5.002063846730988,7.93177869599981
"[20, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.1736934508392896,7.914565099999891
"[20, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",4.186989123455345,8.825173082999981
"[20, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",5.0598463805149585,9.224492413999997
"[20, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",6.118693735426474,9.600618619999977
"[20, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",3.8346329264558423,8.177020545999994
