"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",5141.887730574717,5.69
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",8516.814564900289,5.62
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",2470.0550476995927,5.34
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",27181.587809011686,5.55
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",2090.1228105537766,5.39
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",3516.880742796639,5.44
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",2899.3211790880996,5.5
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",23437.160940937836,5.74
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",1989.44601423837,5.83
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",417.3862225005179,5.97
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",1092.5903715532197,6.0
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",2401.233319999619,5.74
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",171.23966266028933,5.94
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",1592.97314281803,5.57
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",1702.8955197135872,5.56
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",227.2828635302711,5.43
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",2021.991030208063,5.46
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",3196.122258426098,5.39
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",1430.9305655808141,5.48
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",2795.8675472442815,5.43
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",333.83416210408166,5.61
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",1314.0215833337145,5.54
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",3186.228438365127,5.96
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",3827.320841293395,5.46
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",1350.8935818969865,5.68
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",2353.193459636611,5.91
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",919.2703677144337,5.78
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",2285.0250405826414,5.62
"['f11', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",722.0314830398487,5.81
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",1470.0455401845334,5.3
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",2279.8275773818596,6.01
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",2565.232140362615,5.43
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",1257.590619085363,5.62
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",4711.664381883259,5.68
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",14897.222250613102,5.5
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",4996.6477807633355,5.44
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",6358.194198698718,6.04
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",5270.853915314031,6.01
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",1380.9492182962847,5.61
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",3388.5797565426747,5.48
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",5922.736248596308,5.71
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",3189.189504249951,5.52
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",946.8028301342443,5.56
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",2017.4417819628984,5.8
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",6565.392246742837,5.41
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",1128.1614802797071,5.79
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",1871.622489514434,5.36
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",460.5289701583759,5.62
"['f11', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",11080.424165461638,5.56
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",2256.591903904431,5.48
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",1169.5145319850133,5.55
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",607.890563249202,5.37
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",1042.6170113758844,5.74
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",1268.5196458701084,5.53
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",1773.9835984598474,5.46
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",2565.4524489600994,5.93
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",460.3444115430104,5.6
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",2551.628727991714,5.86
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",123.36047093474278,5.9
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",748.7065523289848,5.54
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",202.29307994710268,5.57
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",499.8645763458822,5.56
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",317.715620991616,5.57
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",992.0717775696553,5.47
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",7154.11123007581,5.75
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",693.5042651726927,5.49
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",443.9032199131933,5.67
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",580.0556176700641,5.25
"['f11', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",1914.3630483852241,5.26
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",54067.93266450419,4.49
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",36654.985378756915,4.45
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",32821.33146659457,4.59
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",44483.87171021289,4.75
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",88496.3715747807,4.7
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",84237.09926461124,4.57
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",96925.6237789957,4.66
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",101014.59074472007,4.69
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",40758.66385562142,5.1
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",163091.28892045646,4.65
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",13920.740363141604,4.69
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",68384.91399118352,4.7
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",156661.0498896107,4.74
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",15800.882103402362,4.59
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",34438.946391993566,4.8
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",137308.39780581303,4.9
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",41457.76479839832,5.04
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",49791.283846111946,4.76
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",166149.93282730214,4.74
"['f11', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",18007.798547437003,4.97
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",16575.780737260357,4.63
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",3353.5070106589387,4.75
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",19702.916125025917,4.58
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",4619.591423379031,5.08
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",7383.643586271838,4.69
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",38422.00086993879,4.74
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",5445.71452098121,4.5
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",88687.45618274005,4.77
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",24143.44184903689,4.93
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",25484.856574445545,4.52
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",6720.692114490434,4.5
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",5738.739992231895,4.56
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",14973.044804678188,4.59
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",4549.608422599552,4.63
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",70296.96273615384,4.58
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",4942.803735082371,4.74
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",2221.614645610277,4.65
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",4587.36077837772,4.65
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",62321.25272594544,4.71
"['f11', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",30427.81888591063,4.77
"['f11', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",23625.77869944112,4.95
"['f11', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",51472.48528925262,4.52
"['f11', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",15955.653675012805,4.55
"['f11', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",94797.70912956903,4.53
"['f11', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",87470.34401542394,4.44
"['f11', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",27526.687381172567,4.48
"['f11', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",9730.706538970853,4.74
"['f11', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",15759.710362326816,4.75
"['f11', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",62415.534776707354,4.82
"['f11', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",45070.64579540278,4.61
"['f11', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",20081.192181986975,4.49
